Category,Default 24X24,Icon Name,Small 20X20,Icon Name S,Large 30X30,Icon Name L,XSmall 16X16,Icon Name XS,XLarge 60X60,con Name XL,Sizes,Type
"RCE, WixBrands",,TextStyle2,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/TextStyle2_Small_20X20.svg,TextStyle2Small,,,,,,,Small 20X20,
"RCE, WixBrands",,Underline,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Underline_Small_20X20.svg,UnderlineSmall,,,,,,,Small 20X20,
"RCE, WixBrands",,WhiteTextColor,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/WhiteTextColor_Small_20X20.svg,WhiteTextColorSmall,,,,,,,Small 20X20,
Actions,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Minus_Medium_24X24.svg,Minus,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Minus_Small_20X20.svg,MinusSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Minus_Large__30X30.svg,MinusLarge,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Minus_XSmall_16X16.svg,MinusXSmall,,,"Large 30X30, Small 20X20, XLarge 60X60, XSmall 16X16",Outline
Actions,,More,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/MoreS.svg,MoreSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/MoreL.svg,MoreLarge,,,,,"Large 30X30, Small 20X20",Outline
Actions,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Plus_Medium_24X24.svg,Plus,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Plus_Small_20X20.svg,PlusSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Plus_Large__30X30.svg,PlusLarge,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Plus_XSmall_16X16.svg,PlusXSmall,,,"Large 30X30, Medium 24X24, Small 20X20, XSmall 16X16",Outline
Actions,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Check_Medium_24X24.svg,Check,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Check_Small_20X20.svg,CheckSmall,,,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Check_XSmall_16X16.svg,CheckXSmall,,,"Large 30X30, Medium 24X24, Small 20X20",Outline
Actions,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/CloseM.svg,Close,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/CloseS.svg,CloseSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/CloseL.svg,CloseLarge,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/CloseXS.svg,CloseXSmall,,,"Large 30X30, Medium 24X24, Small 20X20, XSmall 16X16",Outline
Actions,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/DeleteM.svg,Delete,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/DeleteS.svg,DeleteSmall,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/DeleteL.svg,DeleteLarge,,,,,"Large 30X30, Medium 24X24, Small 20X20",Outline
Actions,Untitled%20Database%20647e5526a0ea4497b8e3fa6ecd9506ea/Download_Medium_24X24.svg,Download,,,,,,,,,Medium 24X24,Outline
